"beerGraphs$Brewery[i]","beerGraphs$Location[i]","lon","lat"
"Brew Mountain","",-123.1886111,50.0436111
"Palisade Brewing Co.","Palisade, CO, US",-108.3509193,39.1102587
"Malka (מלכה)","IL",NA,NA
"Pott's Brauerei","Oelde, Nordrhein-Westfalen, DE",8.1463962,51.8297412
"Elk Brewing","",-78.5630795,41.4339765
"Braukunst Berlin","",13.404954,52.5200066
"Clearsky","",-89.0542889,42.2101078
"Pioneer Brewing Company","Fiskdale, MA, US",-72.11341,42.1162056
"Vukovarska pivovara","",NA,NA
"Smokey Bones","",-78.9650292,35.0718567
"Covington Brewhouse","Covington, LA, US",-90.1009108,30.4754702
"Whaler's Brewing Company","",NA,NA
"August Beer","千代田区, 東京都, JP",139.7535951,35.6940027
"Heineken Ice Cold","",NA,NA
"Rock Brothers Brewing","Tampa, FL, US",-82.4571776,27.950575
"Lazy Magnolia Brewing Company","Kiln, MS, US",-89.4350519,30.4090829
"Door County Brewing Co.","",-87.3770488,44.8341302
"De Steeg","",10.29427,47.2432896
"Art Cervesers","Granollers, Catalunya, ES",2.2870889,41.6061927
"Dr. Hops","",22.487569,-33.9559099
"Barrow Boys Brewing","",NA,NA
"Cervejaria Lund Ltda.","",NA,NA
"Fat Lizard Brewing Co.","",NA,NA
"Ca L'Arenys","",2.265938,41.668744
"Cervecería Minerva","",-89.18042,13.6989713
"Brouwerij Van Honsebrouck (Castle Brewery)","BE",NA,NA
"Turoni's Pizzery and Brewery","Evansville, IN, US",-87.5710898,37.9715592
"Microbrasserie Le Naufrageur","CA",NA,NA
"East Coast Beer Co.","",NA,NA
"Townshend's","",-88.1898289,37.718122
"Hamilton Family Brewery","",NA,NA
"Applewood Winery","",-83.7633778,42.3043306
"Jonas Bronck's Beer Co.","",NA,NA
"Beau Jardin","",-97.2334455,37.5553146
"Moody Brews","",-122.8283291,49.2793572
"De Veluwse Heidebrouwerij","Ede, Gelderland, NL",5.6648594,52.0401675
"Narrows Brewing Co","",NA,NA
"Lev Lion","",23.3238861,42.7048877
"Leżajsk Brewery","",22.4210807,50.2620534
"Eddyline Brewing","",NA,NA
"Dan Armor","",-84.3689812,33.8185021
"Maiden Rock Winery & Cider","",-92.3096252,44.5608007
"Sonoma Cider","",-122.8594236,38.4158774
"Two Thumbs Brewing","",NA,NA
"Grimm Artisinal Ales","",4.083352,44.127204
"The BREW","Shanghai, Shanghai, CN",121.6169447,31.2098546
"Last Drop Brewery","AU",NA,NA
"Hopdaemon Brewery","",NA,NA
"St. Julian Wine Co., Inc.","",NA,NA
"Bay State Beer Company","Sudbury, MA, US",-71.4161725,42.3834278
"Novabirra","",NA,NA
"Old Forge Brewing Company","Danville, PA, US",-76.6127329,40.96342
"Brauerei Karg","DE",NA,NA
"Pyraser Landbrauerei","Hilpoltstein, Bayern, DE",11.1885756,49.1891243
"Mythos Brewery (Carlsberg Group)","",NA,NA
"Kabinet Brewery","",NA,NA
"Bay Brewing Yokohama","横浜市, 神奈川県, JP",139.6380256,35.4437078
"Corfu Beer Ltd.","",19.9223461,39.6249838
"Dunkertons","",-92.2154026,42.570324
"Archea","",23.1555059,37.6376123
"De Hoorn","",4.845546,52.2782231
"Dogfish Head","",-69.6861566,43.8370267
"Bombshell Beer Company","",NA,NA
"Lobethal Bierhaus And Belair Fine Wines","",138.8743192,-34.9048498
"Fifth Street Brewpub","",-82.992661,39.9542252
"Black Donkey Brewing","",NA,NA
"Collaboration: Mikkeller / Revelation Cat","",NA,NA
"Hop City Brewing Co.","Brampton, ON, CA",-79.7624177,43.7315479
"Arc Valley","",-100.0253378,37.7561754
"West Avenue Cider","",-91.3173037,41.8378862
"Galaxy Brewing Company","",NA,NA
"Deck & Donohue","",-97.0748091,47.4847019
"Columbia River Brewing","Portland, OR, US",-122.6764816,45.5230622
"101 North Brewing Company","Petaluma, CA, US",-122.6366524,38.232417
"Gang Of Four","",5.485504,51.9570969
"Knaresborough","",-1.47102,54.011022
"Bryggeriet Djævlebryg","",NA,NA
"Hardywood Park Craft Brewery","",NA,NA
"Tomos Watkin and Sons Ltd.","Swansea, West Glamorgan, GB",-3.435973,55.378051
"Back Road Brewery","La Porte, IN, US",-86.7227195,41.611143
"Frampton Brasse","CA",NA,NA
"Mestsky Pivovar Platan S.r.o.","",NA,NA
"Dyckman Beer Company","",NA,NA
"Starpoint Brewing","Chapel Hill, NC, US",-79.0558445,35.9131996
"7 Stern Bräu","Wien, Wien, AT",16.3738189,48.2081743
"Saint Somewhere Brewing Company / Intangible Ales","",4.083352,44.127204
"Cervecería Barbarian","",NA,NA
"Yerevan Brewery","Yerevan, Yerevan, AM",44.4887543,40.1717305
"Pheasantry Brewery","",NA,NA
"Honda Sangyo Inc.","稲敷郡阿見町, 茨城県, JP",140.2147859,36.0307951
"Collaboration: Stillwater/Mikkeller/Fanø","",8.4144546,55.413048
"Slanted Rock Brewery","Meridian, ID, US",-116.3915131,43.6121087
"Mount Pleasant Brewing Company","Mt Pleasant, MI, US",-84.7675139,43.5978075
"Twin Leaf Brewery","",NA,NA
"Kieler Brauerei","Kiel, SH, DE",10.1227652,54.3232927
"Joseph Holt","Manchester Piccadilly Station, Greater Manchester, GB",-2.1578377,53.4575955
"Ramsbury","",-1.596393,51.447578
"Truman's","",-1.9741482,51.3451411
"Loomis  Basin Brewing Company","Loomis, CA, US",-121.1930041,38.8212889
"Hopcraft Brewing","",NA,NA
"Two Fingers Beers","",NA,NA
"Blatant Brewery","",NA,NA
"Left Handed Giant Brewing","",NA,NA
"Sheppys Farm and Cider Centre","Taunton, Somerset, GB",-3.106849,51.015344
"Aiken Brewing Company","Aiken, SC, US",-81.7195533,33.5604168
"Lenny Boy","",NA,NA
"Seapine Brewing Company","",NA,NA
"Manzanita Brewing Co.","Santee, CA, US",-116.9739167,32.8383828
"Northampton Brewery","Northampton, MA, US",-72.6412013,42.3250896
"7 Fjell Bryggeri","",NA,NA
"Wallace Brewing Company","Wallace, ID, US",-115.9279387,47.4740945
"Birra dell'Eremo","",NA,NA
"Dark Star / Saltaire","",NA,NA
"PT Multi Bintang Indonesia (Heineken)","",NA,NA
"Sunken City Brewing Company","Carrollton, VA, US",-76.5605078,36.9468152
"Small Batch Beer Co.","",NA,NA
"Jw Sweetman","",NA,NA
"Blackmans Brewery","",NA,NA
"Browar Jablonowo","",NA,NA
"Chios Microbrewery","Χίος, Νησιά Βορείου Αιγαίο, GR",NA,NA
"Piast","",15.9570778,52.7795293
"Collaboration: Mikkeller & Amager Bryghus","",NA,NA
"Henniker Brewing Company","",-71.8222872,43.1798323
"Birrificio La Petrognola","IT",NA,NA
"Pizza Port San Clemente","",-117.6119925,33.4269728
"UAB Kalnapilio-Tauro grupe","",NA,NA
"Brackie Imperial IPA","",NA,NA
"Distillerie de Genievre Claeyssens","FR",NA,NA
"Cowaramup Brewing Company","Cowaramup, WA, AU",115.1026511,-33.851148
"Opera Bar","",-1.5412263,53.7999193
"The Brew Company","",-76.3834978,43.2992866
"Kingswood","",-2.368647,51.626435
"New Belgium Brewing / Cigar City","",NA,NA
"Casella Family Brewers","AU",NA,NA
"Chilly Water Brewing Company","",NA,NA
"Premium","",31.2083574,-17.8733269
"Sonoma Springs Brewing Co.","Sonoma, CA, US",-122.4580356,38.291859
"10 Saints Brewery Company","",NA,NA
"Public House Brewing Company","Rolla, MO, US",-91.7715303,37.948544
"Zulogaarden Et Benelux","",NA,NA
"Three Magnets Brewing Company","",NA,NA
"Wander","",75.0070792,30.5146456
"Boston Beer Company (Samuel Adams)","Boston, MA, US",-71.0588801,42.3600825
"Morita Kinshachi Brewery / Wadakan Corp.","犬山市, 愛知県, JP",136.9445638,35.3786067
"Mankato Brewery","North Mankato, MN, US",-94.033845,44.1732996
"Pagosa Brewing Co.","Pagosa Springs, CO, US",-107.0097617,37.26945
"Midland Beer Works","",NA,NA
"Southport Brewery","",-3.0041587,53.6341685
"Triple Crossing Brewing Company","",NA,NA
"Montauk Brewing Company","Montauk, NY, US",-71.9545146,41.0359353
"Bru Brewery","",NA,NA
"Slow Boat Brewery","",NA,NA
"Goddards Brewery","",-1.138935,50.7077427
"Chatham Brewery","Chatham, NY, US",-73.5948391,42.3642516
"Mönschof","",NA,NA
"Front Street Brewery (NC)","Wilmington, NC, US",-77.9447102,34.2257255
"Molta Birra","",NA,NA
"Cidrerie Duché de Longueville","",NA,NA
"The Filling Station Microbrewery","Traverse City, MI, US",-85.6206317,44.7630567
"Monument City","",-85.5682267,40.7524655
"Bell City Brewing Company","",NA,NA
"Fever-Tree","",29.2483935,-25.92445
"Vissenberg","",4.5916549,51.5345085
"Brauerei Grieskirchen","Grieskirchen, OÖ, AT",NA,NA
"Southhampton Publick House","",-77.2878279,36.8842411
"Singha","",79.3275439,28.1682977
"Prospectors Brewing Company","CA, US",-119.4179324,36.778261
"Cervejaria Baldhead","Porto Alegre, RS, BR",-51.2176584,-30.0346471
"Herrnbräu","Ingolstadt, Bayern, DE",11.4257541,48.7665351
"White River Brewing Company","",NA,NA
"Moondog","",-111.4402419,40.7448428
"Kirin Ichiban","",NA,NA
"Woodruff Brewing Company","Knoxville, TN, US",-83.9207392,35.9606384
"Four Avenues Brewing Co.","Christchurch, Canterbury, NZ",172.6362254,-43.5320544
"Collaboration: Dieu du Ciel / Brasserie de la Senne","",NA,NA
"MC77","IT",NA,NA
"CJ's Brewing Company","Commerce Township, MI, US",-85.6023643,44.3148443
"Greenbrew SPRL","",NA,NA
"MacKinnon Brothers","",145.0449506,-37.8781843
"CREW AleWerkstatt","München, Bayern, DE",11.5819806,48.1351253
"HofTen Dormaal","",5.0985,50.80722
"Paradox Brewery","",NA,NA
"Raw Brewing Company","Staveley, Derbyshire, GB",-1.351435,53.266064
"Sirvenos","",24.7435168,56.1950992
"Cotswold Spring Brewing Co.","",NA,NA
"Rustic Road Brewing Company","Kenosha, WI, US",-87.8211854,42.5847425
"Weezledog Brewing","",NA,NA
"Seventh Son/Jackie O's","",NA,NA
"Cerveceros Krut S.L.","",NA,NA
"Lock 27","",10.926995,47.1354336
"Pizza Port OB","",NA,NA
"Foley Brothers Brewing Company","",NA,NA
"Antwerpse Brouw Compagnie","Antwerpen, Antwerpen, BE",4.4024643,51.2194475
"Starcut Ciders","",NA,NA
"Grand River Brewing","Cambridge, ON, CA",-80.3144276,43.3616211
"Kettle & Stone","",-85.3610742,36.7022847
"Dr. Beer","徐汇区, 上海, CN",121.436525,31.188523
"Drake's Brewing","",-2.174492,52.1784158
"Red Hook Brewery And Hillards Brewery Cooperative","",-74.0094471,40.6772802
"Spilker Ales","Cortland, NE, US",-96.7058484,40.5060627
"Radiant Pig Craft Beers","",NA,NA
"Tonbridge","",0.27568,51.195043
"Bratislavsky Mestiansky Pivovar","",NA,NA
"Strongbow (Fosters)","",NA,NA
"Barngates Brewery","",NA,NA
"Bogus Brewing","Boise, ID, US",-116.2146068,43.6187102
"New Helvetia Brewing Company","Sacramento, CA, US",-121.4943996,38.5815719
"49th State Brewing Company","",NA,NA
"Hangzhou Quiandaohu Beer Co., Ltd. (Cheerday Brewery)","",120.15507,30.274085
"Caleya","ES",2.6535552,41.6134346
"Goodieson Brewery","",NA,NA
"Cannonball Creek Brewing Co","",NA,NA
"Buntingford Brewery","Royston, Hertfordshire, GB",-0.0628008,51.9768559
"Blackedge","GB",-1.8999535,53.7905534
"Original Joe's","Calgary, Alberta, CA",-114.0708459,51.0486151
"Homestead Brewery","",-4.3019315,50.9841384
"Black Bridge Brewery","",-105.5289107,39.805424
"Propolis Brewing","",NA,NA
"Old Boys' Brewhouse","Spring Lake, MI, US",-86.1969971,43.0769625
"Perla-Browary Lubelskie S.A.","",NA,NA
"Covered Bridge Craft Brewery","",NA,NA
"Roak Brewing Co.","",-106.0613628,39.6376012
"Coburg","",10.962695,50.2612094
"Endeavour True Vintage Beer","The Rocks, NSW, AU",151.2087008,-33.8596347
"Espina De Ferro","",NA,NA
"Baying Hound Aleworks","Rockville, MD, US",-77.1527578,39.0839973
"Castle Point","",-3.7800815,50.2316843
"Browar Ciechan","",NA,NA
"Woodfour Brewing Company","",NA,NA
"The Loddon Brewery","England, GB",-1.1743197,52.3555177
"Vilniaus Alus","",25.2796514,54.6871555
"Border Psycho","",NA,NA
"BS Brewing","",NA,NA
"Rock Bridge Brewing Co.","Columbia, MO, US",-92.3340724,38.9517053
"Brasserie de Bastogne","Hompré, Région Wallonne, BE",5.6869659,49.9443952
"Amsterdamsche Stoombierbrouwerij De Bekeerde Suster","Amsterdam, Noord-Holland, NL",4.8951679,52.3702157
"Bürgerbräu Bad Reichenhall","Bad Reichenhall, Germany, DE",12.874137,47.722459
"Collaboration: Brekeriet & Xbeeriment","",NA,NA
"Art Brew","Bridport, Dorset, GB",-2.758301,50.7335769
"Tom Wood's","",-86.3693803,35.0981103
"Sweet Mullets Brewing Company","WI, US",-88.7878678,43.7844397
"Abandon Brewing Company","",NA,NA
"Mastri Birrai Umbri","Corciano, PG, IT",12.2892596,43.1237872
"Catawba Island Brewing Company","",-81.0756345,35.7073558
"Pivovarna Laško","",15.2359978,46.1542793
"Bahamas Breeze","",-76.7430665,34.7118802
"T&R Theakston Ltd","",-92.43552,44.8876317
"Shady Oak Barrel House","",NA,NA
"Fox Hat Brewing","",NA,NA
"Brasseurs Sans Gluten (BSG)","Montréal, QC, CA",-73.567256,45.5016889
"Badass Hard Cider","",NA,NA
"Ghost River Brewing","Memphis, TN, US",-90.0489801,35.1495343
"King Valley Brewery","",-121.8859485,47.4421556
"The Leaky Cauldron","",NA,NA
"Ontario Beer Company","",-76.3834978,43.2992866
"Browar W Elblagu (Zywiec Group/Heineken)","",NA,NA
"Yaletown Brewing Company","Vancouver, BC, CA",-123.1207375,49.2827291
"Townsville Brewing Co.","Townsville, QLD, AU",146.8178707,-19.2576268
"Skol Breweries","",86.6414279,20.2993715
"Wild Cider","",-80.0608033,32.9467213
"Pardubicky pivovar","",15.7623576,50.0365548
"Ponysaurus Brewing Company","",NA,NA
"Collaboration: Bridge Road / Birra Del Borgo","",NA,NA
"Amherst Brewing Company","Amherst, MA, US",-72.5198537,42.3732216
"Hopfanatic","",NA,NA
"Dark Horse Brewery","",-75.0677712,39.8229313
"Cerveceria Costa Rica (Productora La Florida)","Sarapiqui, Heredia, CR",-84.0167423,10.473523
"Birrificio Endorama","Orio Al Serio, BG, IT",9.6889593,45.6739099
"Hollandia","",5.291266,52.132633
"Cervejaria Guitt´s","",NA,NA
"Brouwerij Slaghmuylder","Ninove, Oost-Vlaanderen, BE",4.0188286,50.8336386
"40 Arpent Brewing Company","New Orleans, LA, US",-90.0715323,29.9510658
"Stadsbrouwerij Pelgrim","Rotterdam, Zuid-Holland, NL",4.4777325,51.9244201
"Hidatakayama Brewing","",NA,NA
"SAB Miller","",-0.5624084,51.3186066
"Brasserie De La Goutte D'Or","",2.3555872,48.8887332
"Big Rig Brewery","Ottawa, ON, CA",-75.6971931,45.4215296
"Beerze Brave","",NA,NA
"BrickHouse Brewery and Restaurant","Patchogue, NY, US",-73.019343,40.7659783
"Elgood and Sons (Elgood's)","GB",-3.435973,55.378051
"Junction Craft Brewing","Toronto, ON, CA",-79.3831843,43.653226
"White Gypsy","",-3.2360186,50.8924892
"SABMiller India","",NA,NA
"Gipsy Hill Brewing Co","",NA,NA
"Wisconsin Brewing Company","Verona, WI, US",-89.5331773,42.990831
"Itajahy","",-49.35,-27.2
"Nowhere In Particular","",NA,NA
"Mad Cap Brew Co.","",NA,NA
"Shed Brewery","",-98.4574256,29.4488463
"Weetwood Ales","",4.083352,44.127204
"Bootleg Brewery","Wilyabrup, WA, AU",115.0335558,-33.7852942
"Stonehenge","",-1.826215,51.178882
"Wrexham Lager","",NA,NA
"Oyster House Brewing Company","",NA,NA
"Myanmar Brewery Limited","",NA,NA
"Nutbrook","Giltbrook, Nottinghamshire, GB",-1.3268247,52.9921788
"Mazama","",-120.4039844,48.5920867
"Rj Rockers/noda","",NA,NA
"Derventio","",-1.4747919,52.9336294
"The Black Cat Brewery","",NA,NA
"Native Brewing Company","Ft Lauderdale, FL, US",-80.1373174,26.1224386
"Klosterbrauerei Neuzelle","Neuzelle, Brandenburg, DE",14.6552809,52.0935127
"House Ales (Bar Volo)","Toronto, ON, CA",-79.3831843,43.653226
"Industry Public House","",100.531611,13.753965
"Watermill","",-72.3478839,40.9178346
"Everybody's Brewing","White Salmon, WA, US",-121.4864619,45.7276194
"Whetstone Station","Brattleboro, VT, US",-72.5578678,42.8509152
"Bonny Doon Vineyard","",NA,NA
"Gneiss Brewing Company","",NA,NA
"Hopshire Farm And Brewery","NY, US",-74.0059413,40.7127837
"Brauerei Felsenau","Bern, BE, CH",7.4407539,46.9729483
"James Squires Brewhouse (Portland Hotel)","Melbourne, VIC, AU",144.96328,-37.814107
"Goose Eye","Keighley, West Yorkshire, GB",-1.9576776,53.8617266
"Wild Card Brewery","",NA,NA
"Bob's Brewing Co","",NA,NA
"Brasserie Kruhnen","Sainte-Thérèse, QC, CA",-73.8439099,45.6397183
"All In Brewing / Lervig Aktiebryggeri","",NA,NA
"Longwood Brewpub","CA",-81.3384011,28.7030519
"Birrificio Indipendente Elav","Bergamo, BG, IT",9.6772698,45.6982642
"Woodland Empire Ale Craft","",NA,NA
"Descendants Beer & Beverage Co.","",34.7924077,31.230632
"Adroit Theory","Purcellville, VA, US",-77.7147153,39.1367717
"Piebalgas Alus","",NA,NA
"Rockaway Brewing Company","New York, NY, US",-74.0059413,40.7127837
"Radegast","",12.0953146,51.6565171
"Imperial La Cerveza De Costa Rica","",NA,NA
"Russian River Brewing Company / Sierra Nevada","",-116.419389,38.8026097
"Sanford orchards","",-79.0455225,35.3132448
"Edge Brewing","",-78.5492444,35.7601995
"Invercargill Brewery","Invercargill, Southland, NZ",168.3537731,-46.4131866
"Jack's Hard Cider","",NA,NA
"Northshire Brewery","",NA,NA
"Jacks Abby","",-3.1779963,50.878548
"Bad Martha","",8.1116473,53.1412171
"Badass Hard Cider","",NA,NA
"District Brewing Company","",117.3060257,31.8931268
"Benchmark Brewing Company","",NA,NA
"Half Full Brewery","Stamford, CT, US",NA,NA
"Telegraph Brewing Company","Santa Barbara, CA, US",-119.6981901,34.4208305
"Galway Hooker","Galway, Co Galway, IE",-9.0567905,53.270668
"Almond 22","Spoltore, PE, IT",14.1388165,42.4545184
"Southern Cliff Brands","",NA,NA
"OutRAGEous","",NA,NA
"Oldershaw Beers","Grantham, Lincolnshire, GB",-0.643582,52.912524
"Fogbelt Brewing Company","",NA,NA
"Cerveza Fort","",NA,NA
"Sleepy Dog Brewing","Tempe, AZ, US",-111.9400054,33.4255104
"Ramblin' Road Brewery Farm","Delhi, ON, CA",-80.4991954,42.8526969
"De Bora Bier","Imbituva, Parana, BR",-50.6054136,-25.2293043
"Schlossbrauerei Au-Hallertau","DE",11.7375805,48.5590217
"Collaboration: Sierra Nevada / Ballast Point","",NA,NA
"Severnaya Pivovarnya","",NA,NA
"Amicas","Cheyenne Wells, CO, US",-102.3532435,38.821395
"Collaboration: Hoppin’ Frog Brewery / Brouwerij De Molen","",NA,NA
"Authentic Seacoast Brewing Company","",NA,NA
"Triporteur","",NA,NA
"Brentwood Brewing Company","GB",-3.435973,55.378051
"Chevalier Brewing Company","",NA,NA
"Baffalo Wild Wings","",-81.4064354,28.6892163
"Big Wood Brewery","Vadnais Heights, MN, US",-93.0738305,45.0574658
"East Side Brewing","",-117.8937657,33.713459
"Stift Engelszell","AT",13.7370335,48.4964837
"Jamieson Brewery","Jamieson, VIC, AU",146.1358963,-37.299288
"京A Capital Brewing Co.","",NA,NA
"Fell Brewery","",-76.5894393,39.2805821
"Brasserie Les Deux Freres","",NA,NA
"The Granary","",-8.3571431,52.1831734
"Pirate Republic","",NA,NA
"Samuel Smiths Nut Brown Ale","",NA,NA
"Lienies","",NA,NA
"Concrete Beach Brewery","",NA,NA
"Sandford Orchards","",-1.7735949,50.8429773
"Ken Fisher per Birra del Borgo","",NA,NA
"Aslan Brewing Company","",NA,NA
"Heverlee","",4.69594,50.86386
"Podklášterní Pivovar Třebíč","",NA,NA
"McGillin's Olde Ale House","",NA,NA
"Bahamian Brewery","",NA,NA
"Crystal Springs Brewing Company","Boulder, CO, US",-105.2705456,40.0149856
"Collaboration: Central City / Elysian","",-93.673838,44.1985771
"Elliott Bay Brewing Co.","Seattle, WA, US",-122.3320708,47.6062095
"Browar Kasztelan (Carlsberg Polska)","PL",NA,NA
"Pan American Grill & Brewery","Buffalo, NY, US",NA,NA
"Turk's Head Brewery","Provo,                   TC",NA,NA
"Palmers Brewery","",-87.9097013,43.0564515
"Tzimbar Beer Co. (Brauerei Hirt)","Vicenza, VI, IT",11.5354214,45.5454787
"Scorched Earth","",NA,NA
"Portside Distillery Man O'war","",NA,NA
"Argus Cidery","",NA,NA
"Beau's All Natural Brewing Company","",NA,NA
"Ei8ht Ball Brewing","",NA,NA
"Terminal Gravity Brewing (TG)","Enterprise, OR, US",-117.2787815,45.4262617
"Brouwerij Kortrijk-Dutsel","Leuven, Vlaams-Brabant, BE",4.7005176,50.8798438
"Hunter's Brewing","Chesterton, IN, US",-87.0641992,41.6105937
"Brewery Ferment","Traverse City, MI, US",-85.6206317,44.7630567
"Mean Sardine Brewery","",NA,NA
"Flat Cap Beers","",NA,NA
"Lake Monster Brewing","",NA,NA
"Captain Dick's Brewing Company","",NA,NA
"Brauhaus Mitte","Berlin, Berlin, DE",13.4296288,52.5559255
"Slater's","",-81.5392909,39.7656284
"Grand River Brewery","",NA,NA
"Naked City Brewery","Seattle, WA, US",-122.3320708,47.6062095
"Cölner Hofbräu Früh","Köln, Nordrhein-Westfalen, DE",6.9602786,50.937531
"Port Townsend Brewing Company","Port Townsend, WA, US",-122.7604472,48.1170387
"Hammerpot","",-0.485057,50.840652
"Sagarnoa","",NA,NA
"Stringers","",-2.9837299,53.1252682
"City Brewery","La Crosse, WI, US",-91.2395807,43.8013556
"Gardner Ale House","Gardner, MA, US",-71.998133,42.5750883
"SoMe Brewing Company","",NA,NA
"K's Brewing Company","福岡市中央区, 福岡県, JP",130.3928134,33.5892157
"Lookout Brewing Co.","",-104.7596481,38.3336027
"Beak And Skiff Farm Winery","Lafayette, NY, US",-76.1125902,42.9119147
"Sierra Nevada / 3 Floyds","",NA,NA
"Koala Beer Pty Ltd","",NA,NA
"Smith & Forge Cidery","",-95.3102505,32.3352505
"Weird Barrel Brewing Co.","",NA,NA
"Shed Mountain","",-91.3279113,36.23729
"Paulander Brauerei","",11.43693,48.176232
"Volcano Brewing","",NA,NA
"Mikkeller","",NA,NA
"White Lion Brewing Company","",NA,NA
"2nd Story Brewing","",NA,NA
"Brouwerij Burp","",NA,NA
"Qvänum Mat & Malt","",NA,NA
"AleSmith/Monkey Paw","",NA,NA
"Scharer's Little Brewery","",NA,NA
"Funk Brewing Company","",NA,NA
"Cheeky Monkey Brewery and Cidery","Margaret River, Western Australia, AU",115.0735653,-33.9536762
"Save The World Brewing Co.","",NA,NA
"Tibbs Brewing Company","",NA,NA
"Growler Brewery","",NA,NA
"Noble Aleworks","",NA,NA
"Mississippi Brewing Co.","",-88.202662,34.2184992
"Aloha Beer Company","Honolulu, HI, US",-157.8583333,21.3069444
"Clocktower Brew Pub","Ottawa, ON, CA",-75.6971931,45.4215296
"High Sierra Brewing Company","Carson City, NV, US",-119.7674034,39.1637984
"Browar Dojlidy (Kompania Piwowarska)","",NA,NA
"Albur","",146.9164693,-36.0807785
"Portsmouth Brewing Company (Ohio)","Portsmouth, OH, US",-82.9976742,38.7317431
"Ootmarsummer Bierbrouwerij Heupink & Co","Ootmarsum,                   NL",NA,NA
"Black Sky Brewery","",NA,NA
"Riegeler","Riegel am Kaiserstuhl, Baden-Württemberg, DE",7.7773691,48.1551406
"Bowral Brewing Company Pty Limited","Bowral, NSW, AU",150.4177969,-34.4791552
"Harcourt Valley Brewing Co.","",NA,NA
"Motim","",-51.0954429,-30.0646063
"Gallia 1890","Puteaux, Île-de-France, FR",2.23964,48.884748
"White Rabbit Brewing Company","Angier, NC, US",-78.7391813,35.5071044
"Mikkeller & Yde","",NA,NA
"Brouwerij Troost","",NA,NA
"Brauerei Bischofshof","Regensburg,                   DE",12.1016236,49.0134297
"Coal Harbour Brewing Company","Vancouver, BC, CA",-123.1207375,49.2827291
"Cheshire Valley Brewing Co.","Toronto, ON, CA",-79.3831843,43.653226
"Magpie Brewery","Nottingham, Nottinghamshire, GB",-1.1581086,52.9547832
"Bodington","",-1.5866939,53.8449866
"Piccolo Birrificio Clandestino","Livorno, LI, IT",10.3105674,43.548473
"Below the Radar","Huntsville, AL, US",-86.5861037,34.7303688
"Brouwerij Verstraete","Diksmuide, West-Vlaanderen, BE",2.8658393,51.033331
"Chakra Brewery","",NA,NA
"Cycladic Microbrewery Co.","Τήνος, Κυκλάδες, GR",25.1598231,37.5393136
"Collaboration: Three Floyds / Dogfish Head","",NA,NA
"Cobra Beer (Molson Coors)","",NA,NA
"Echo Brewing Company","Frederick, CO, US",-104.9371993,40.0991506
"Fat Head's Brewery/Stone Brewing Collab","",NA,NA
"Three Pints Brewpub","Indianapolis, IN, US",-86.158068,39.768403
"Tivoli Brewing Company","",NA,NA
"Consorcio Cervecero de Baja California","",-119.4179324,36.778261
"Birrificio L'Olmaia","Montepulciano, SI, IT",11.7872467,43.0986938
"Ichnusa (Heineken Italia)","Assemini, Sardegna, IT",8.9977583,39.2915003
"Fritzale","Köln, Nordrhein-Westfalen, DE",6.9602786,50.937531
"CooperSmith's Pub & Brewing","Fort Collins, CO, US",NA,NA
"Hyde Park Brewing Company","Hyde Park, NY, US",-73.9015246,41.7667602
"Braven Brewing Company","",NA,NA
"Fortnight Brewing Co.","",NA,NA
"Forge Brew Works","",NA,NA
"Hofbrauhaus Chicago","",-87.6297982,41.8781136
"Hasseröder Brauerei (ABInBev)","Wernigerode, Sachsen-Anhalt, DE",10.7844266,51.8368113
"Beach City Brewery","",-98.4956409,29.414799
"AllGates","Wigan,                   GB",-2.6325074,53.5450645
"Tucher Traditionsbrauerei","",NA,NA
"Appleton Beer Factory","",-88.4153847,44.2619309
"Flying Mouse Brewery","",NA,NA
"Happy Valley Brewing Company","",-122.5303688,45.446787
"Stonehouse Brewery","",-2.2403836,51.7445192
"Bainbridge Island Brewing","Bainbridge Island, WA, US",-122.5212448,47.6262081
"Le Brasserie Des Sources","",0.710176,49.542955
"Brouwerij Maenhout","Tielt, West-Vlaanderen, BE",3.3263821,51.0001519
"Cevada Pura","",NA,NA
"Love Dale","",75.9924136,11.3086459
"Guinea Pigs!","",-77.8344829,34.193415
"Brueprint","",NA,NA
"Wild Card","",-105.9378416,39.5708485
"Pump House Brewery","Dieppe, New Brunswick, CA",-64.7486638,46.0952765
"Unknown Brewing Company","",NA,NA
"Blue Bee Cider","",NA,NA
"Sociedade Cabo-verdiana de Cerveja e Refrigerantes","",NA,NA
"Granite Falls Brewery","",-78.4962566,35.9564266
"Double Maxim Beer Co","",NA,NA
"Birrificio Ticinese","",NA,NA
"Det Lille Bryggeriet AS, Rena","",NA,NA
"Lustige Brouwers","Weelde,                   BE",NA,NA
"BIIR Barcelona Craft Beer","",NA,NA
"Warped Brewing Company","",NA,NA
"Pivovarna Union (Laško)","",15.2359978,46.1542793
"Underdog's Brewhouse","",NA,NA
"Chippewa Falls","",-91.3929348,44.9369054
"Sun Up Brewing Co","Phoenix, AZ, US",-112.0740373,33.4483771
"Lunar Brewing Co.","Villa Park, IL, US",-87.9889543,41.8897519
"Jandrian Jandrenouille","",4.97969,50.67368
"AEppelTreow Winery & Distillery","Burlington, WI, US",NA,NA
"Liberty Steakhouse & Brewery","High Point, NC, US",NA,NA
"Turbinenbräu","Zürich, ZH, CH",8.541694,47.3768866
